Name,Link,Is_Scraped
V Hotel Sharm El Shiekh,https://www.booking.com/hotel/eg/pyramisa-resort.html?label=gen173nr-1FCAEoggI46AdIM1gEaEOIAQGYATG4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4AoDku70GwAIB0gIkZmE4MTAxNmItZGRiOC00ZGNjLWIxZDUtM2RjZGQ0ZWYxNmRl2AIF4AIB&aid=304142&ucfs=1&arphpl=1&dest_id=-302053&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=21&hapos=21&sr_order=popularity&srpvid=229b3753a29600e3&srepoch=1739519528&from=searchresults,True
Safir Sharm Waterfalls Resort,https://www.booking.com/hotel/eg/hilton-sharm-waterfalls-resort.html?label=gen173nr-1FCAEoggI46AdIM1gEaEOIAQGYATG4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4AoDku70GwAIB0gIkZmE4MTAxNmItZGRiOC00ZGNjLWIxZDUtM2RjZGQ0ZWYxNmRl2AIF4AIB&aid=304142&ucfs=1&arphpl=1&dest_id=-302053&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=22&hapos=22&sr_order=popularity&srpvid=229b3753a29600e3&srepoch=1739519528&from=searchresults,True
Gafy Resort Aqua Park,https://www.booking.com/hotel/eg/gafy-resort.html?label=gen173nr-1FCAEoggI46AdIM1gEaEOIAQGYATG4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4AoDku70GwAIB0gIkZmE4MTAxNmItZGRiOC00ZGNjLWIxZDUtM2RjZGQ0ZWYxNmRl2AIF4AIB&aid=304142&ucfs=1&arphpl=1&dest_id=-302053&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=23&hapos=23&sr_order=popularity&srpvid=229b3753a29600e3&srepoch=1739519528&from=searchresults,True
Hotel Novotel Sharm El-Sheikh,https://www.booking.com/hotel/eg/novotel-sharm-el-sheikh.html?label=gen173nr-1FCAEoggI46AdIM1gEaEOIAQGYATG4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4AoDku70GwAIB0gIkZmE4MTAxNmItZGRiOC00ZGNjLWIxZDUtM2RjZGQ0ZWYxNmRl2AIF4AIB&aid=304142&ucfs=1&arphpl=1&dest_id=-302053&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=24&hapos=24&sr_order=popularity&srpvid=229b3753a29600e3&srepoch=1739519528&from_sustainable_property_sr=1&from=searchresults,True
Aida Hotel Sharm El Sheikh,https://www.booking.com/hotel/eg/aida.html?label=gen173nr-1FCAEoggI46AdIM1gEaEOIAQGYATG4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4AoDku70GwAIB0gIkZmE4MTAxNmItZGRiOC00ZGNjLWIxZDUtM2RjZGQ0ZWYxNmRl2AIF4AIB&aid=304142&ucfs=1&arphpl=1&dest_id=-302053&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&srpvid=229b3753a29600e3&srepoch=1739519528&from=searchresults,True
Pickalbatros Laguna Club Resort Sharm El Sheikh,https://www.booking.com/hotel/eg/pickalbatros-laguna-club-resort-sharm-el-sheikh-adults-only-16.html?label=gen173nr-1FCAEoggI46AdIM1gEaEOIAQGYATG4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4AoDku70GwAIB0gIkZmE4MTAxNmItZGRiOC00ZGNjLWIxZDUtM2RjZGQ0ZWYxNmRl2AIF4AIB&aid=304142&ucfs=1&arphpl=1&dest_id=-302053&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=26&sr_order=popularity&srpvid=d2b93756a51203eb&srepoch=1739519534&from=searchresults,True
"Apartment at Sunterra Village, Sharm El Sheikh",https://www.booking.com/hotel/eg/apartment-at-sunterra-village-sharm-el-sheikh.html?label=gen173nr-1FCAEoggI46AdIM1gEaEOIAQGYATG4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4AoDku70GwAIB0gIkZmE4MTAxNmItZGRiOC00ZGNjLWIxZDUtM2RjZGQ0ZWYxNmRl2AIF4AIB&aid=304142&ucfs=1&arphpl=1&dest_id=-302053&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=27&sr_order=popularity&srpvid=d2b93756a51203eb&srepoch=1739519534&from=searchresults,True
Naama Blue Hotel,https://www.booking.com/hotel/eg/falcon-naama-blue.html?label=gen173nr-1FCAEoggI46AdIM1gEaEOIAQGYATG4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4AoDku70GwAIB0gIkZmE4MTAxNmItZGRiOC00ZGNjLWIxZDUtM2RjZGQ0ZWYxNmRl2AIF4AIB&aid=304142&ucfs=1&arphpl=1&dest_id=-302053&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=28&sr_order=popularity&srpvid=d2b93756a51203eb&srepoch=1739519534&from=searchresults,True
Meraki Resort Sharm El Sheikh Adults only,https://www.booking.com/hotel/eg/meraki-resort-sharm-el-sheikh.html?label=gen173nr-1FCAEoggI46AdIM1gEaEOIAQGYATG4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4AoDku70GwAIB0gIkZmE4MTAxNmItZGRiOC00ZGNjLWIxZDUtM2RjZGQ0ZWYxNmRl2AIF4AIB&aid=304142&ucfs=1&arphpl=1&dest_id=-302053&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=29&sr_order=popularity&srpvid=d2b93756a51203eb&srepoch=1739519534&from=searchresults,True
sharks bay oasis,https://www.booking.com/hotel/eg/sharks-bay-oasis-shrm-lshykh.html?label=gen173nr-1FCAEoggI46AdIM1gEaEOIAQGYATG4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4AoDku70GwAIB0gIkZmE4MTAxNmItZGRiOC00ZGNjLWIxZDUtM2RjZGQ0ZWYxNmRl2AIF4AIB&aid=304142&ucfs=1&arphpl=1&dest_id=-302053&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=30&sr_order=popularity&srpvid=d2b93756a51203eb&srepoch=1739519534&from=searchresults,True
