City,Hotel_Name,Hotel_over_all_rate,Staff,Facilities,Cleanliness,Comfort,Value_for_money,Location,Free_Wifi,clean_City,clean_Hotel_Name
Grand Square Hostel Luxor (Hostel) (Egypt) Deals,Grand Square Hostel Luxor,Scored 8.5,9.5,8.0,8.0,8.1,9.0,9.3,7.5,Luxor,Grand Square Hostel Luxor
"Omar apartment (Apartment), Luxor (Egypt) Deals",Omar apartment,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate,Luxor,Omar apartment
Studio House Luxor (Apartment) (Egypt) Deals,Studio House Luxor,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate,Luxor,Studio House Luxor
"Jomaika family hotel (Hotel), Luxor (Egypt) Deals",Jomaika family hotel,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate,Luxor,Jomaika family hotel
"Steigenberger Resort Achti (Hotel), Luxor (Egypt) Deals",Steigenberger Resort Achti,Scored 8.6,9.0,8.7,8.9,9.0,8.6,9.1,8.4,Luxor,Steigenberger Resort Achti
MRHostel Luxor (Hostel) (Egypt) Deals,MRHostel Luxor,Scored 9.5,9.9,9.3,9.5,9.6,9.8,9.8,8.5,Luxor,MRHostel Luxor
Nefertiti Hotel Luxor (Hotel) (Egypt) Deals,Nefertiti Hotel Luxor,Scored 8.5,9.4,8.2,8.6,8.5,8.9,9.5,7.6,Luxor,Nefertiti Hotel Luxor
"Rezeiky Hotel & Camp (Campground), Luxor (Egypt) Deals",Rezeiky Hotel & Camp,Scored 8.1,9.1,7.8,8.0,8.0,8.5,8.9,8.5,Luxor,Rezeiky Hotel Camp
Tokyo House Luxor (Apartment) (Egypt) Deals,Tokyo House Luxor,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate,Luxor,Tokyo House Luxor
"New Winter Apartment (Apartment), Luxor (Egypt) Deals",New Winter Apartment,Scored 10,10,10,10,10,10,10,No Rate,Luxor,New Winter Apartment
Iberotel Luxor (Hotel) (Egypt) Deals,Iberotel Luxor,Scored 8.5,8.9,8.5,8.7,8.8,8.4,9.4,7.3,Luxor,Iberotel Luxor
Steigenberger Nile Palace Luxor - Convention Center (Hotel) (Egypt) Deals,Steigenberger Nile Palace Luxor - Convention Center,Scored 9.1,9.4,9.2,9.3,9.4,9.0,9.4,8.4,Luxor,Steigenberger Nile Palace Luxor Convention Center
Grand Square Hostel Luxor (Hostel) (Egypt) Deals,Grand Square Hostel Luxor,Scored 8.5,9.5,8.0,8.0,8.1,9.0,9.3,7.5,Luxor,Grand Square Hostel Luxor
"أهلا بكم (Apartment), Luxor (Egypt) Deals",أهلا بكم,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate,Luxor,
Lotus Luxor Hotel (Hotel) (Egypt) Deals,Lotus Luxor Hotel,Scored 8.5,8.8,8.5,8.7,8.8,8.7,9.2,8.8,Luxor,Lotus Luxor Hotel
"Sonesta St. George Hotel - Convention Center (Hotel), Luxor (Egypt) Deals",Sonesta St. George Hotel - Convention Center,Scored 9.2,9.5,9.2,9.5,9.5,9.1,9.4,8.8,Luxor,Sonesta St George Hotel Convention Center
Aracan Eatabe Luxor Hotel (Hotel) (Egypt) Deals,Aracan Eatabe Luxor Hotel,Scored 8.6,9.2,8.5,8.8,8.9,8.6,9.6,6.8,Luxor,Aracan Eatabe Luxor Hotel
"Old Winter Apartment (Apartment), Luxor (Egypt) Deals",Old Winter Apartment,Scored 9.3,9.5,9.2,9.4,9.4,9.5,9.5,10,Luxor,Old Winter Apartment
Pyramisa Hotel Luxor (Hotel) (Egypt) Deals,Pyramisa Hotel Luxor,Scored 8.3,8.9,8.2,8.5,8.5,8.3,9.2,6.0,Luxor,Pyramisa Hotel Luxor
Studio House Luxor (Apartment) (Egypt) Deals,Studio House Luxor,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate,Luxor,Studio House Luxor
Happy Land Luxor (Hostel) (Egypt) Deals,Happy Land Luxor,Scored 8.2,9.1,7.8,8.0,7.9,8.8,8.6,6.4,Luxor,Happy Land Luxor
"Abeer Guest House (Guesthouse), Luxor (Egypt) Deals",Abeer Guest House,Scored 9.5,9.9,9.3,9.4,9.4,9.7,9.4,10,Luxor,Abeer Guest House
"Oasis hotel (Hotel), Luxor (Egypt) Deals",Oasis hotel,Scored 8.1,9.3,7.4,7.6,7.7,8.8,9.3,7.6,Luxor,Oasis hotel
"Jurf El Nil Apartments (Apartment), Luxor (Egypt) Deals",Jurf El Nil Apartments,Scored 10,10,10,10,10,10,10,10,Luxor,Jurf El Nil Apartments
"Winter apartment (Apartment), Luxor (Egypt) Deals",Winter apartment,Scored 8.6,9.3,8.7,9.2,9.0,8.4,9.5,9.5,Luxor,Winter apartment
"Toutankhamon (Guesthouse), Luxor (Egypt) Deals",Toutankhamon,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate,Luxor,Toutankhamon
Pavillon Winter Luxor (Hotel) (Egypt) Deals,Pavillon Winter Luxor,Scored 9,9.3,9.0,9.2,9.3,8.8,9.7,8.6,Luxor,Pavillon Winter Luxor
"SWEET HOSTEL LUXOR (Hostel), Luxor (Egypt) Deals",SWEET HOSTEL LUXOR,Scored 8,9.0,7.6,7.7,7.8,8.6,9.1,7.9,Luxor,SWEET HOSTEL LUXOR
Pyramids Luxor Hotel & SPA (Hotel) (Egypt) Deals,Pyramids Luxor Hotel & SPA,Scored 8.1,9.0,8.0,8.2,8.1,8.7,8.7,5.4,Luxor,Pyramids Luxor Hotel SPA
"Shellghada Blue Beach (Hotel), Hurghada (Egypt) Deals",Shellghada Blue Beach,Scored 8.1,8.5,8.0,8.4,8.4,8.6,8.6,No Rate,Hurghada,Shellghada Blue Beach
"One Bedroom Apartments With Pool View -Al Saraya Sahl Hasheesh by Peaks (Apartment), Hurghada (Egypt) Deals",One Bedroom Apartments With Pool View -Al Saraya Sahl Hasheesh by Peaks,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate,Hurghada,One Bedroom Apartments Pool View Al Saraya Sahl Hasheesh Peaks
"Shedwan 2 Bdr Ground Floor (Apartment), Hurghada (Egypt) Deals",Shedwan 2 Bdr Ground Floor,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate,Hurghada,Shedwan Bdr Ground Floor
"Newly Furnished Apt: Mangroovy (Apartment), Hurghada (Egypt) Deals",Newly Furnished Apt: Mangroovy,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate,Hurghada,Newly Furnished Apt Mangroovy
